# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2024 по 31.12.2024, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2024 10:19";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с юго-запада";"4";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Вертикальная видимость 120 м";"0.9";"-1.0";
"31.12.2024 10:18";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с юго-запада";"4";"";"Сильный(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 120 м, разорванная (60-90%) 570 м, кучево-дождевые облака";"1.0";"-1.0";
"31.12.2024 10:05";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с юго-запада";"4";"";"Снег";"";"Сплошная (100%) 120 м";"1.4";"-1.0";
"31.12.2024 10:00";"-1.0";"734.8";"752.3";"100";"Ветер, дующий с юго-запада";"4";"";"Снег";"";"Сплошная (100%) 120 м";"1.5";"-1.0";
"31.12.2024 09:37";"-1.0";"734.8";"752.3";"93";"Ветер, дующий с юго-запада";"4";"";"Снег";"";"Сплошная (100%) 150 м";"1.2";"-2.0";
"31.12.2024 09:34";"0.0";"734.9";"752.3";"87";"Ветер, дующий с юго-юго-запада";"5";"";"Снег";"";"Сплошная (100%) 150 м";"2.2";"-2.0";
"31.12.2024 09:30";"0.0";"734.9";"752.3";"87";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 150 м";"2.3";"-2.0";
"31.12.2024 09:22";"0.0";"734.9";"752.3";"87";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 150 м";"2.8";"-2.0";
"31.12.2024 09:00";"0.0";"735.7";"753.1";"87";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 270 м";"10.0 и более";"-2.0";
"31.12.2024 08:30";"0.0";"735.7";"753.1";"87";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 270 м";"10.0 и более";"-2.0";
"31.12.2024 08:00";"0.0";"736.5";"753.9";"87";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 330 м";"10.0 и более";"-2.0";
"31.12.2024 07:30";"-1.0";"736.4";"753.9";"86";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-3.0";
"31.12.2024 07:00";"-1.0";"736.4";"753.9";"86";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-3.0";
"31.12.2024 06:30";"-1.0";"737.1";"754.6";"86";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-3.0";
"31.12.2024 06:00";"-1.0";"737.1";"754.6";"86";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-3.0";
"31.12.2024 05:30";"-1.0";"737.1";"754.6";"86";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"31.12.2024 05:00";"-1.0";"737.9";"755.4";"86";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-3.0";
"31.12.2024 04:30";"-1.0";"737.9";"755.4";"86";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"31.12.2024 04:00";"-1.0";"737.9";"755.4";"86";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-3.0";
"31.12.2024 03:30";"0.0";"737.9";"755.4";"80";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"31.12.2024 03:00";"-1.0";"737.9";"755.4";"80";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"31.12.2024 02:30";"0.0";"737.9";"755.4";"80";"Ветер, дующий с запада";"6";"11";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-3.0";
"31.12.2024 02:00";"0.0";"737.9";"755.4";"80";"Ветер, дующий с запада";"6";"11";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-3.0";
"31.12.2024 01:30";"1.0";"737.2";"754.6";"75";"Ветер, дующий с запада";"9";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-3.0";
"31.12.2024 01:00";"1.0";"737.2";"754.6";"81";"Ветер, дующий с запада";"6";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-2.0";
"31.12.2024 00:30";"1.0";"737.2";"754.6";"81";"Ветер, дующий с запада";"8";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 450 м";"9.0";"-2.0";
"31.12.2024 00:00";"1.0";"736.5";"753.9";"81";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-2.0";
"30.12.2024 23:30";"2.0";"736.6";"753.9";"81";"Ветер, дующий с запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-1.0";
"30.12.2024 23:00";"2.0";"735.8";"753.1";"81";"Ветер, дующий с запада";"9";"";"";"";"Разорванная (60-90%) 510 м, кучево-дождевые облака";"10.0 и более";"-1.0";
"30.12.2024 22:47";"2.0";"735.8";"753.1";"87";"Ветер, дующий с западо-юго-запада";"10";"";"Слабый(ая)(ые) ливень (ливни), снег, дождь";"";"Рассеянная (40-50%) 270 м, разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"0.0";
"30.12.2024 22:30";"2.0";"735.8";"753.1";"87";"Ветер, дующий с западо-юго-запада";"9";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"0.0";
"30.12.2024 22:00";"1.0";"735.0";"752.3";"93";"Ветер, дующий с западо-юго-запада";"9";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"9.0";"0.0";
"30.12.2024 21:30";"1.0";"735.0";"752.3";"93";"Ветер, дующий с юго-запада";"9";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 240 м";"9.0";"0.0";
"30.12.2024 21:00";"1.0";"735.0";"752.3";"93";"Ветер, дующий с юго-запада";"10";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 210 м";"7.0";"0.0";
"30.12.2024 20:43";"1.0";"735.0";"752.3";"93";"Ветер, дующий с юго-запада";"10";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 210 м";"7.0";"0.0";
"30.12.2024 20:30";"1.0";"735.0";"752.3";"93";"Ветер, дующий с юго-запада";"10";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 240 м, сплошная (100%) 600 м";"8.0";"0.0";
"30.12.2024 20:00";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"10";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 240 м, сплошная (100%) 600 м";"9.0";"-1.0";
"30.12.2024 19:41";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"10";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 240 м, сплошная (100%) 600 м";"9.0";"-1.0";
"30.12.2024 19:30";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"10";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 240 м";"5.0";"-1.0";
"30.12.2024 19:00";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"9";"14";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 240 м";"5.0";"-1.0";
"30.12.2024 18:56";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"9";"14";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"7.0";"-1.0";
"30.12.2024 18:54";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"9";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"8.0";"-1.0";
"30.12.2024 18:30";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"10";"15";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-1.0";
"30.12.2024 18:21";"1.0";"735.0";"752.3";"87";"Ветер, дующий с юго-запада";"9";"14";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-1.0";
"30.12.2024 18:00";"0.0";"735.7";"753.1";"93";"Ветер, дующий с юго-запада";"9";"";"";"";"Разорванная (60-90%) 240 м, сплошная (100%) 540 м";"10.0 и более";"-1.0";
"30.12.2024 17:45";"0.0";"735.7";"753.1";"93";"Ветер, дующий с юго-запада";"8";"13";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м, сплошная (100%) 840 м";"10.0 и более";"-1.0";
"30.12.2024 17:30";"0.0";"734.9";"752.3";"93";"Ветер, дующий с юго-запада";"8";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м, сплошная (100%) 840 м";"10.0 и более";"-1.0";
"30.12.2024 17:19";"0.0";"735.7";"753.1";"93";"Ветер, дующий с юго-юго-запада";"8";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 210 м, сплошная (100%) 840 м";"9.0";"-1.0";
"30.12.2024 17:00";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"8";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 180 м, сплошная (100%) 540 м";"4.6";"-1.0";
"30.12.2024 16:55";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"8";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 180 м, сплошная (100%) 540 м";"4.9";"-1.0";
"30.12.2024 16:50";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"8";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 180 м, сплошная (100%) 540 м";"5.0";"-1.0";
"30.12.2024 16:30";"0.0";"736.5";"753.9";"93";"Ветер, дующий с западо-юго-запада";"8";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 180 м, сплошная (100%) 540 м";"3.9";"-1.0";
"30.12.2024 16:27";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 210 м, сплошная (100%) 630 м";"3.9";"-1.0";
"30.12.2024 16:00";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 210 м, сплошная (100%) 630 м";"2.8";"-1.0";
"30.12.2024 15:58";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"7";"";"Снег";"";"Разорванная (60-90%) 210 м, сплошная (100%) 630 м";"7.0";"-1.0";
"30.12.2024 15:30";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м, сплошная (100%) 630 м";"8.0";"-1.0";
"30.12.2024 15:18";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-юго-запада";"8";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м, сплошная (100%) 630 м";"3.9";"-1.0";
"30.12.2024 15:07";"0.0";"736.5";"753.9";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 210 м, сплошная (100%) 630 м";"2.8";"-1.0";
"30.12.2024 15:00";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 180 м, сплошная (100%) 630 м";"3.9";"-1.0";
"30.12.2024 14:54";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м, сплошная (100%) 630 м";"3.7";"-1.0";
"30.12.2024 14:42";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 150 м, сплошная (100%) 630 м";"2.5";"-1.0";
"30.12.2024 14:30";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"7";"";"Снег";"";"Разорванная (60-90%) 180 м, сплошная (100%) 630 м";"2.0";"-1.0";
"30.12.2024 14:29";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"7";"";"Снег";"";"Разорванная (60-90%) 180 м, сплошная (100%) 630 м";"2.0";"-1.0";
"30.12.2024 14:00";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 210 м";"2.8";"-1.0";
"30.12.2024 13:54";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 210 м";"2.9";"-1.0";
"30.12.2024 13:46";"0.0";"737.2";"754.6";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 210 м";"4.0";"-1.0";
"30.12.2024 13:30";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-юго-запада";"8";"";"Слабый(ая)(ые) снег, дымка";"Замерзающий(ая) (переохлажденный(ая)) морось";"Сплошная (100%) 210 м";"2.6";"-1.0";
"30.12.2024 13:29";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-юго-запада";"8";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 210 м";"2.8";"-1.0";
"30.12.2024 13:27";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-запада";"8";"";"Дымка";"";"Сплошная (100%) 180 м";"4.9";"-1.0";
"30.12.2024 13:12";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-запада";"7";"12";"Слабый(ая)(ые) морось";"";"Сплошная (100%) 150 м";"9.0";"-1.0";
"30.12.2024 13:04";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) морось";"";"Сплошная (100%) 150 м";"8.0";"-1.0";
"30.12.2024 13:00";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"";"Сплошная (100%) 150 м";"7.0";"-1.0";
"30.12.2024 12:52";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось, дымка";"";"Сплошная (100%) 120 м";"4.7";"-1.0";
"30.12.2024 12:48";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 120 м";"4.3";"-1.0";
"30.12.2024 12:42";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось, дымка";"";"Сплошная (100%) 120 м";"4.5";"-1.0";
"30.12.2024 12:41";"0.0";"737.9";"755.4";"93";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось, дымка";"";"Сплошная (100%) 120 м";"4.9";"-1.0";
"30.12.2024 12:30";"0.0";"738.7";"756.2";"93";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"";"Сплошная (100%) 120 м";"9.0";"-1.0";
"30.12.2024 12:00";"0.0";"739.4";"756.9";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"";"Сплошная (100%) 120 м";"8.0";"-1.0";
"30.12.2024 11:49";"0.0";"739.4";"756.9";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"";"Сплошная (100%) 120 м";"8.0";"-1.0";
"30.12.2024 11:30";"0.0";"739.4";"756.9";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось, дымка";"";"Сплошная (100%) 120 м";"4.0";"-1.0";
"30.12.2024 11:00";"0.0";"740.2";"757.7";"93";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось, дымка";"";"Сплошная (100%) 120 м";"3.9";"-1.0";
"30.12.2024 10:30";"0.0";"740.2";"757.7";"93";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось, дымка";"";"Сплошная (100%) 120 м";"4.2";"-1.0";
"30.12.2024 10:18";"0.0";"740.2";"757.7";"93";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось, дымка";"";"Сплошная (100%) 150 м";"4.7";"-1.0";
"30.12.2024 10:17";"0.0";"740.2";"757.7";"93";"Ветер, дующий с юго-запада";"6";"";"Дымка";"";"Сплошная (100%) 150 м";"4.8";"-1.0";
"30.12.2024 10:00";"0.0";"740.2";"757.7";"87";"Ветер, дующий с юго-юго-запада";"7";"";"Дымка";"";"Сплошная (100%) 150 м";"5.0";"-2.0";
"30.12.2024 09:30";"0.0";"740.2";"757.7";"87";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-2.0";
"30.12.2024 09:00";"0.0";"740.2";"757.7";"87";"Ветер, дующий с юго-запада";"7";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-2.0";
"30.12.2024 08:30";"0.0";"740.7";"758.2";"87";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-2.0";
"30.12.2024 08:00";"0.0";"740.7";"758.2";"87";"Ветер, дующий с юго-запада";"7";"";"";"";"Сплошная (100%) 540 м";"10.0 и более";"-2.0";
"30.12.2024 07:30";"0.0";"740.7";"758.2";"93";"Ветер, дующий с западо-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 210 м";"6.0";"-1.0";
